id,split
1,train
2,train
3,train
4,val
5,val
6,train
7,train
8,train
9,val
10,val
11,train
12,train
13,train
14,val
15,train
16,train
17,train
18,train
19,train
20,train
21,train
22,train
23,train
24,train
25,val
26,train
27,train
28,train
29,train
30,train
31,val
32,train
33,train
34,val
35,train
36,train
37,train
38,train
39,train
40,train
41,train
42,val
43,val
44,train
45,train
46,train
47,val
48,train
49,train
50,train
51,train
52,train
53,train
54,train
55,train
56,train
57,val
58,val
59,train
60,train
61,train
62,val
63,val
64,train
65,val
66,train
67,train
68,train
69,val
70,val
71,train
72,train
73,train
74,train
75,val
76,val
77,val
78,train
79,train
80,val
81,train
82,train
83,train
84,train
85,val
86,train
87,train
88,train
89,train
90,train
91,train
92,val
93,train
94,val
95,train
96,train
97,train
98,train
99,train
100,train
101,train
102,val
103,train
104,val
105,train
106,train
107,train
108,train
109,train
110,train
111,train
112,train
113,train
114,train
115,val
116,train
117,val
118,train
119,train
120,train
121,train
122,train
123,train
124,val
125,val
126,train
127,train
128,train
129,train
130,val
131,train
132,train
133,train
134,train
135,train
136,train
137,train
138,val
139,train
140,train
141,train
142,val
143,train
144,train
145,train
146,train
147,train
148,train
149,val
150,val
151,train
152,train
153,train
154,train
155,train
156,train
157,val
158,train
159,val
160,train
161,val
162,val
163,train
164,train
165,train
166,train
167,train
168,val
169,train
170,train
171,train
172,train
173,train
174,train
175,train
176,val
177,val
178,train
179,train
180,train
181,train
182,val
183,val
184,val
185,train
186,train
187,train
188,val
189,val
190,val
191,val
192,train
193,train
194,train
195,train
196,val
197,train
198,train
199,train
200,train
201,train
202,val
203,train
204,val
205,train
206,train
207,train
208,train
209,val
210,train
211,train
212,train
213,train
214,train
215,val
216,train
217,train
218,val
219,train
220,train
221,train
222,val
223,train
224,val
225,val
226,train
227,train
228,train
229,train
230,train
231,train
232,val
233,train
234,train
235,train
236,val
237,val
238,train
239,train
240,train
241,train
242,train
243,train
244,val
245,train
246,val
247,train
248,train
249,train
250,train
251,train
252,train
253,val
254,train
255,val
256,train
257,val
258,val
259,train
260,train
261,train
262,val
263,train
264,train
265,train
266,train
267,val
268,train
269,train
270,train
271,train
272,train
273,train
274,train
275,val
276,train
277,val
278,train
279,train
280,train
281,val
282,train
283,train
284,train
285,train
286,train
287,val
288,train
289,val
290,val
291,train
292,val
293,val
294,val
295,train
296,train
297,val
298,train
299,val
300,train
301,train
302,val
303,train
304,val
305,train
306,train
307,train
308,val
309,train
310,val
311,train
312,train
313,train
314,val
315,train
316,val
317,val
318,train
319,train
320,train
321,train
322,val
323,train
324,train
325,val
326,train
327,train
328,train
329,train
330,train
331,val
332,train
333,val
334,train
335,train
336,train
337,train
338,val
339,train
340,train
341,val
342,train
343,val
344,train
345,train
346,train
347,train
348,val
349,val
350,train
351,val
352,train
353,val
354,train
355,train
356,train
357,train
358,train
359,train
360,val
361,train
362,val
363,val
364,val
365,train
366,val
367,train
368,val
369,train
370,train
371,train
372,train
373,train
374,val
375,train
376,val
377,train
378,train
379,train
380,train
381,val
382,val
383,train
384,train
385,train
386,train
387,train
388,val
389,train
390,train
391,val
392,train
393,val
394,val
395,train
396,train
397,train
398,train
399,train
400,train
401,val
402,train
403,val
404,val
405,val
406,train
407,train
408,val
409,train
410,val
411,train
412,train
413,train
414,train
415,val
416,train
417,train
418,train
419,train
420,val
421,train
422,train
423,train
424,val
425,train
426,train
427,train
428,val
429,train
430,train
431,val
432,train
433,train
434,train
435,train
436,train
437,train
438,train
439,val
440,train
441,val
442,train
443,train
444,train
445,train
446,train
447,train
448,train
449,train
450,train
451,train
452,train
453,train
454,train
455,train
456,val
457,val
458,train
459,train
460,train
461,val
462,train
463,val
464,train
465,val
467,train
468,val
469,train
470,val
471,val
472,train
473,val
474,train
475,val
476,val
477,val
478,train
479,val
480,val
481,val
482,train
483,val
484,train
485,train
486,train
487,train
488,train
489,train
490,train
491,val
492,train
493,train
494,val
495,val
496,val
497,train
498,train
499,val
500,val
501,val
502,train
503,train
504,train
505,train
506,train
507,val
508,train
509,train
510,val
511,val
512,train
513,train
514,train
515,val
516,val
517,train
518,train
519,train
520,val
521,val
522,train
523,val
524,val
525,train
526,val
527,train
528,train
529,val
530,val
531,train
532,train
533,train
534,train
535,train
536,train
537,train
538,train
539,train
540,val
